" Realme 6 (Comet Blue, 64 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹14,999",https://www.flipkart.com/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKWM7V5HX&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFTAZ5CXWPRYKW.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Realme C3 (Frozen Blue, 64 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹9,999",https://www.flipkart.com/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRLO2FKJ&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFZHC5QRBG2BSR.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4.5,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹10,499",https://www.flipkart.com/infinix-hot-9-pro-ocean-wave-64-gb/p/itm1bc9e9eef4559?pid=MOBFQ3DPHDM5RYKJ&lid=LSTMOBFQ3DPHDM5RYKJIF7Q7P&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFQ3DPHDM5RYKJ.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Realme Narzo 10A (So White, 32 GB)",4.5,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹8,999",https://www.flipkart.com/realme-narzo-10a-so-white-32-gb/p/itmbeb412dade152?pid=MOBFQ36ASQHV3UGW&lid=LSTMOBFQ36ASQHV3UGWL3NPOI&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFQ36ASQHV3UGW.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Realme Narzo 10A (So White, 64 GB)",4.5,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹9,999",https://www.flipkart.com/realme-narzo-10a-so-white-64-gb/p/itmbeb412dade152?pid=MOBFSZTTZ8GXBHRB&lid=LSTMOBFSZTTZ8GXBHRBLKRVHG&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFSZTTZ8GXBHRB.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Infinix Smart 4 Plus (Midnight Black, 32 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹7,999",https://www.flipkart.com/infinix-smart-4-plus-midnight-black-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBCSZ3QGJW&lid=LSTMOBFTGWBCSZ3QGJWRNJBND&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFTGWBCSZ3QGJW.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" POCO M2 Pro (Out of the Blue, 128 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹16,999",https://www.flipkart.com/poco-m2-pro-out-blue-128-gb/p/itm151565feac420?pid=MOBFT7MKCGTQTBBU&lid=LSTMOBFT7MKCGTQTBBUENPL7B&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFT7MKCGTQTBBU.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Realme C3 (Blazing Red, 64 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹9,999",https://www.flipkart.com/realme-c3-blazing-red-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5SSTXZPCD&lid=LSTMOBFZHC5SSTXZPCDKWVRA5&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFZHC5SSTXZPCD.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Infinix Smart 4 Plus (Violet, 32 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹7,999",https://www.flipkart.com/infinix-smart-4-plus-violet-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBY7CAEUHG&lid=LSTMOBFTGWBY7CAEUHGGHK9LS&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFTGWBY7CAEUHG.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
" Infinix Smart 4 Plus (Ocean Wave, 32 GB)",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"₹7,999",https://www.flipkart.com/infinix-smart-4-plus-ocean-wave-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBPGDPZYGH&lid=LSTMOBFTGWBPGDPZYGH2E67R5&marketplace=FLIPKART&otracker=search&fm=organic&iid=2eae5360-6ea7-47f9-9b27-b75cfc738216.MOBFTGWBPGDPZYGH.SEARCH&ssid=lj5ml4ou680000001599221470918&qH=532c28d5412dd75b
